ID,Groups,Tasks,Acc,Eff,Java,Vulns,Perc
R_6rHPwheFYU7MYtA,3,DoS,0.0,0.0,1.0,2.0,1.6
R_5wvGVB6iwMitbXC,5,Path,0.0,0.0,1.5,1.0,2.2
R_5wvGVB6iwMitbXC,5,Injection,0.0,0.0,1.5,1.0,2.6
R_5wvGVB6iwMitbXC,5,XSS,0.0,0.0,1.5,1.0,2.4
R_5wvGVB6iwMitbXC,5,DoS,0.0,0.0,1.5,1.0,2.0
R_5kHcDGxYL3IYyNu,5,Path,0.0,0.0,1.5,2.0,2.2
R_5kHcDGxYL3IYyNu,5,Injection,0.0,0.0,1.5,2.0,2.0
R_5kHcDGxYL3IYyNu,5,XSS,0.0,0.0,1.5,2.0,1.8
R_5kHcDGxYL3IYyNu,5,DoS,0.0,0.0,1.5,2.0,1.6
R_10C0Fc0WmZPDXoz,3,Path,0.0,0.0,0.5,1.5,2.8
R_10C0Fc0WmZPDXoz,3,Injection,0.0,0.0,0.5,1.5,2.8
R_10C0Fc0WmZPDXoz,3,XSS,0.0,0.0,0.5,1.5,2.2
R_10C0Fc0WmZPDXoz,3,DoS,0.0,0.0,0.5,1.5,2.0
R_4ZTag6Jezolkg7v,6,Path,0.0,0.0,1.0,1.5,1.6
R_4ZTag6Jezolkg7v,6,Injection,0.0,0.0,1.0,1.5,2.2
R_4ZTag6Jezolkg7v,6,XSS,0.0,0.0,1.0,1.5,2.2
R_4ZTag6Jezolkg7v,6,DoS,0.0,0.0,1.0,1.5,1.8
R_3s6YMpNoh34GuhE,4,Path,0.0,0.0,0.0,1.5,2.0
R_3s6YMpNoh34GuhE,4,Injection,0.2,0.0526,0.0,1.5,2.6
R_3s6YMpNoh34GuhE,4,XSS,0.0,0.0,0.0,1.5,3.2
R_3s6YMpNoh34GuhE,4,DoS,0.0,0.0,0.0,1.5,2.6
R_3FOL6BSvUcFSIrW,6,Path,0.07692,0.08547,0.5,1.5,2.0
R_3FOL6BSvUcFSIrW,6,Injection,0.0,0.0,0.5,1.5,1.2
R_3FOL6BSvUcFSIrW,6,XSS,0.0,0.0,0.5,1.5,1.2
R_3FOL6BSvUcFSIrW,6,DoS,0.0,0.0,0.5,1.5,1.2
R_26aovXcAszRH26f,3,Path,0.0,0.0,2.0,2.5,2.4
R_26aovXcAszRH26f,3,Injection,0.0,0.0,2.0,2.5,2.4
R_26aovXcAszRH26f,3,XSS,0.0,0.0,2.0,2.5,2.6
R_26aovXcAszRH26f,3,DoS,0.0,0.0,2.0,2.5,3.0
R_1CvVU07N39EVqGy,3,Path,0.0,0.0,1.0,2.0,2.8
R_1CvVU07N39EVqGy,3,Injection,0.2,0.036,1.0,2.0,3.2
R_1CvVU07N39EVqGy,3,XSS,0.0,0.0,1.0,2.0,2.2
R_1CvVU07N39EVqGy,3,DoS,0.0,0.0,1.0,2.0,2.6
R_3m8AcYvLa3hl3Os,4,Path,0.30769,0.12638,2.0,1.5,2.6
R_3m8AcYvLa3hl3Os,4,Injection,0.0,0.0,2.0,1.5,2.2
R_3m8AcYvLa3hl3Os,4,XSS,0.25,0.0316,2.0,1.5,2.2
R_3m8AcYvLa3hl3Os,4,DoS,0.0,0.0,2.0,1.5,1.8
R_3ad8iHXwqa7yHC1,5,Path,0.07692,0.03104,3.0,1.5,1.6
R_3ad8iHXwqa7yHC1,5,Injection,0.2,0.03104,3.0,1.5,1.6
R_3ad8iHXwqa7yHC1,5,XSS,0.0,0.0,3.0,1.5,2.4
R_3ad8iHXwqa7yHC1,5,DoS,0.0,0.0,3.0,1.5,1.4
R_2Swuf4973133TEJ,3,Path,0.07692,0.03414,0.5,0.5,2.0
R_2Swuf4973133TEJ,3,Injection,0.4,0.06828,0.5,0.5,2.0
R_2Swuf4973133TEJ,3,XSS,0.25,0.03414,0.5,0.5,1.6
R_2Swuf4973133TEJ,3,DoS,0.0,0.0,0.5,0.5,1.6
R_1Kx8flofL7vgaLz,2,Path,0.0,0.0,1.5,2.0,3.0
R_1Kx8flofL7vgaLz,2,Injection,0.0,0.0,1.5,2.0,2.8
R_1Kx8flofL7vgaLz,2,XSS,0.25,0.03574,1.5,2.0,3.0
R_1Kx8flofL7vgaLz,2,DoS,0.0,0.0,1.5,2.0,2.6
R_xaVdsmgzk12EEeZ,3,Path,0.0,0.0,2.5,0.5,2.0
R_xaVdsmgzk12EEeZ,3,Injection,0.2,0.03563,2.5,0.5,2.2
R_xaVdsmgzk12EEeZ,3,XSS,0.0,0.0,2.5,0.5,2.0
R_xaVdsmgzk12EEeZ,3,DoS,0.0,0.0,2.5,0.5,2.2
R_3iJuvDXtd1nIgxs,5,Path,0.0,0.0,0.0,1.0,2.0
R_3iJuvDXtd1nIgxs,5,Injection,0.2,0.03028,0.0,1.0,2.8
R_3iJuvDXtd1nIgxs,5,XSS,0.0,0.0,0.0,1.0,2.8
R_3iJuvDXtd1nIgxs,5,DoS,0.0,0.0,0.0,1.0,2.0
R_tRKLArCTuM8yHTj,2,Path,0.15385,0.05901,1.5,0.0,1.6
R_tRKLArCTuM8yHTj,2,Injection,0.0,0.0,1.5,0.0,1.6
R_tRKLArCTuM8yHTj,2,XSS,0.5,0.05901,1.5,0.0,1.4
R_tRKLArCTuM8yHTj,2,DoS,0.33333,0.02951,1.5,0.0,1.4
R_2feBGxnqgqIwwC7,5,Path,0.0,0.0,2.0,0.5,1.8
R_2feBGxnqgqIwwC7,5,Injection,0.0,0.0,2.0,0.5,2.0
R_2feBGxnqgqIwwC7,5,XSS,0.0,0.0,2.0,0.5,2.0
R_2feBGxnqgqIwwC7,5,DoS,0.0,0.0,2.0,0.5,1.6
R_264P0zHozptDX72,1,Path,0.0,0.0,1.0,0.5,1.6
R_264P0zHozptDX72,1,Injection,0.2,0.02843,1.0,0.5,1.2
R_264P0zHozptDX72,1,XSS,0.0,0.0,1.0,0.5,1.4
R_264P0zHozptDX72,1,DoS,0.33333,0.02843,1.0,0.5,1.2
R_2dLr1JpvotIPkms,1,Path,0.0,0.0,2.0,1.0,3.0
R_2dLr1JpvotIPkms,1,Injection,0.0,0.0,2.0,1.0,2.2
R_2dLr1JpvotIPkms,1,XSS,0.0,0.0,2.0,1.0,2.6
R_2dLr1JpvotIPkms,1,DoS,0.0,0.0,2.0,1.0,2.2
R_22tOywUEy1MDak3,4,Path,0.0,0.0,1.0,0.5,2.8
R_22tOywUEy1MDak3,4,Injection,0.0,0.0,1.0,0.5,2.4
R_22tOywUEy1MDak3,4,XSS,0.25,0.03172,1.0,0.5,2.8
R_22tOywUEy1MDak3,4,DoS,0.33333,0.03172,1.0,0.5,2.4
R_NXaAZaoGFQAclY5,4,Path,0.0,0.0,1.5,2.0,2.8
R_NXaAZaoGFQAclY5,4,Injection,0.2,0.03144,1.5,2.0,2.4
R_NXaAZaoGFQAclY5,4,XSS,0.5,0.06287,1.5,2.0,3.0
R_NXaAZaoGFQAclY5,4,DoS,0.0,0.0,1.5,2.0,2.6
R_1OvnM8Bpk1kam5r,3,Path,0.0,0.0,1.0,2.0,3.0
R_1OvnM8Bpk1kam5r,3,Injection,0.2,0.02527,1.0,2.0,3.4
R_1OvnM8Bpk1kam5r,3,XSS,0.0,0.0,1.0,2.0,2.8
R_1OvnM8Bpk1kam5r,3,DoS,0.0,0.0,1.0,2.0,3.0
R_1hYeAlqhuGI1fOO,3,Path,0.15385,0.05196,1.0,1.5,2.8
R_1hYeAlqhuGI1fOO,3,Injection,0.4,0.05196,1.0,1.5,2.8
R_1hYeAlqhuGI1fOO,3,XSS,0.0,0.0,1.0,1.5,2.8
R_1hYeAlqhuGI1fOO,3,DoS,0.0,0.0,1.0,1.5,2.8
R_1cTcawAFlCftIi6,2,Path,0.07692,0.02301,2.0,1.5,3.2
R_1cTcawAFlCftIi6,2,Injection,0.2,0.02301,2.0,1.5,2.6
R_1cTcawAFlCftIi6,2,XSS,0.5,0.04602,2.0,1.5,2.6
R_1cTcawAFlCftIi6,2,DoS,0.0,0.0,2.0,1.5,3.4
R_3oQFWPaE18bzTOW,4,Path,0.0,0.0,0.5,1.5,3.2
R_3oQFWPaE18bzTOW,4,Injection,0.2,0.02769,0.5,1.5,3.4
R_3oQFWPaE18bzTOW,4,XSS,0.25,0.02769,0.5,1.5,3.4
R_3oQFWPaE18bzTOW,4,DoS,0.0,0.0,0.5,1.5,3.0
R_3IWtk06QJIfb87q,3,Path,0.15385,0.05677,1.0,1.0,2.2
R_3IWtk06QJIfb87q,3,Injection,0.8,0.11354,1.0,1.0,2.0
R_3IWtk06QJIfb87q,3,XSS,0.0,0.0,1.0,1.0,1.8
R_3IWtk06QJIfb87q,3,DoS,0.0,0.0,1.0,1.0,2.0
R_21sxZN0xSIk4qTj,1,Path,0.0,0.0,1.5,2.0,2.2
